Things probed: 

Dummy Clamp Prob Points on Beam
Dummy Clamp Prob Points on Storage
Dummy Clamp Storage Pad
Dummy Clamp Beam Holes and srfs


Time	Tip Location
12:35:26	17855.954;9280.680;623.706
12:35:26	17855.945;9280.657;623.715
12:36:07	17784.687;9299.693;649.665
12:36:07	17784.688;9299.648;649.661
12:36:10	17784.743;9308.260;650.621
12:36:12	17784.734;9316.961;651.349
12:36:13	17784.737;9316.969;651.399
12:36:16	17784.759;9324.019;652.202
12:36:16	17784.761;9324.013;652.187
12:36:16	17784.761;9324.013;652.187
12:36:17	17784.759;9323.990;652.171
12:36:17	17784.759;9323.990;652.171
12:36:18	17784.759;9323.990;652.171
12:36:26	17784.631;9219.168;653.337
12:36:27	17784.631;9219.168;653.337
12:36:27	17784.613;9219.041;653.344
12:36:29	17784.452;9213.097;654.052
12:36:29	17784.452;9213.097;654.052
12:36:32	17784.619;9210.279;654.109
12:36:33	17784.573;9210.313;654.047
12:36:33	17784.573;9210.313;654.047
12:36:33	17784.549;9210.348;654.026
12:36:33	17784.519;9210.395;653.993
12:36:37	17867.887;9208.270;650.463
12:36:37	17867.887;9208.270;650.463
12:36:37	17867.895;9208.296;650.514
12:36:38	17867.895;9208.296;650.514
12:36:38	17867.895;9208.296;650.514
12:36:38	17867.886;9208.279;650.541
12:36:38	17867.886;9208.279;650.541
12:36:38	17867.886;9208.279;650.541
12:36:38	17867.886;9208.279;650.541
12:36:41	17867.874;9208.281;650.645
12:36:41	17867.874;9208.281;650.645
12:36:41	17867.864;9208.270;650.650
12:36:42	17867.864;9208.270;650.650
12:36:42	17867.864;9208.270;650.650
12:36:42	17867.873;9208.313;650.650
12:36:42	17867.873;9208.313;650.650
12:36:42	17867.873;9208.313;650.650
12:36:42	17867.873;9208.313;650.650
12:36:47	17867.971;9211.006;650.277
12:36:47	17867.968;9210.976;650.251
12:36:47	17867.968;9210.976;650.251
12:36:47	17867.963;9210.939;650.229
12:36:49	17867.941;9210.000;649.350
12:36:49	17867.942;9210.045;649.385
12:36:53	17867.943;9208.512;652.249
12:36:53	17867.943;9208.503;652.257
12:36:59	17868.234;9299.053;649.131
12:36:59	17868.226;9299.077;649.140
12:36:59	17868.226;9299.077;649.140
12:36:59	17868.226;9299.077;649.140
12:37:02	17868.264;9303.292;649.721
12:37:05	17868.299;9313.267;650.710
12:37:08	17868.289;9321.239;651.889
12:37:12	17868.314;9322.439;653.020
12:37:37	17815.824;9314.215;641.248
12:37:37	17815.774;9314.200;641.259
12:37:37	17815.774;9314.200;641.259
12:37:37	17815.737;9314.201;641.261
12:37:37	17815.710;9314.225;641.268
12:37:37	17815.710;9314.225;641.268
12:37:38	17815.710;9314.225;641.268
12:38:41	17928.460;6263.206;1553.515
12:38:41	17928.449;6263.210;1553.515
12:38:42	17928.419;6263.211;1553.525
12:38:42	17928.418;6263.213;1553.530
12:38:43	17928.416;6263.214;1553.531
12:38:45	17928.615;6263.829;1498.649
12:38:45	17928.597;6263.822;1498.660
12:38:46	17928.578;6263.820;1498.682
12:38:46	17928.578;6263.820;1498.682
12:38:46	17928.584;6263.818;1498.680
12:38:47	17928.584;6263.818;1498.680
12:38:47	17928.593;6263.823;1498.682
12:38:56	17928.002;6367.940;1553.001
12:38:56	17928.002;6367.940;1553.001
12:38:56	17928.002;6367.940;1553.001
12:38:57	17928.033;6367.927;1553.035
12:39:04	17927.748;6367.994;1498.281
12:39:04	17927.731;6367.998;1498.270
12:39:12	17921.072;6372.352;1449.906
12:39:15	17874.663;6372.179;1444.700
12:39:15	17874.713;6372.154;1444.706
